AREZZO,FIRENZE S.M.N.,BOLOGNA C.LEAV,
2.5,3.5,2.5,2.5
1.0,2.0,6.0,6.0
3.0,7.0,4.0,4.0
0.5,3.0,0.5,0.5
2.0,4.5,4.0,4.0
1.0,1.0,11.0,11.0
0.5,5.0,1.5,1.5
3.5,3.0,1.5,1.5
2.5,4.0,1.5,1.5
1.0,3.0,1.5,1.5
0.5,3.0,1.5,1.5
2.5,5.5,3.5,3.5
2.0,2.5,6.0,6.0
5.0,7.0,7.5,7.5
1.0,4.5,2.5,2.5
1.0,4.0,3.5,3.5
1.5,2.0,3.5,3.5
1.5,1.5,0.5,0.5
1.5,4.5,2.0,2.0
0.5,3.0,1.0,1.0
1.0,2.5,5.0,5.0
1.5,1.5,12.0,12.0
4.5,3.5,0.5,0.5
2.5,8.5,6.0,6.0
4.0,5.0,6.5,6.5
1.0,1.5,1.5,1.5
2.0,2.5,1.5,1.5
0.5,2.5,1.0,1.0
2.5,3.5,2.5,2.5
23.5,25.5,28.0,28.0
6.5,11.0,6.5,6.5
1.0,8.0,8.5,8.5
1.5,5.0,3.0,3.0
0.5,4.5,1.5,1.5
3.0,4.0,38.0,38.0
2.0,3.5,3.0,3.0
2.0,4.0,3.5,3.5
2.5,6.0,2.0,2.0
1.5,1.0,0.5,0.5
1.5,4.5,4.0,4.0
3.0,4.0,2.0,2.0
1.0,3.5,0.5,0.5
0.5,4.5,2.0,2.0
2.0,8.5,5.0,5.0
1.0,5.0,2.0,2.0
6.0,6.0,1.0,1.0
2.0,4.0,4.5,4.5
0.5,2.5,4.5,4.5
1.0,3.0,1.5,1.5
1.5,3.5,1.5,1.5
0.5,3.0,2.5,2.5
0.5,6.0,3.5,3.5
0.5,3.5,0.5,0.5
0.5,4.5,6.5,6.5
2.0,7.0,8.5,8.5
2.0,3.0,5.5,5.5
1.5,3.5,2.0,2.0
0.5,4.0,6.5,6.5
1.0,3.0,0.5,0.5
0.5,1.0,0.5,0.5
