VOGHERA,STRADELLA,CASTEL S.GIOVANNI,
23.0,20.5,21.0,21.0
6.5,2.0,1.5,1.5
1.5,1.0,3.0,3.0
8.5,8.5,9.0,9.0
7.0,5.5,6.0,6.0
53.0,54.5,55.0,55.0
12.5,8.5,9.0,9.0
1.5,1.0,2.0,2.0
15.0,13.5,13.0,13.0
7.0,5.0,5.5,5.5
1.5,1.5,3.0,3.0
54.5,53.5,55.0,55.0
11.5,8.5,9.0,9.0
4.5,2.0,2.5,2.5
17.0,13.5,14.0,14.0
4.0,6.0,6.5,6.5
1.0,14.5,14.5,14.5
17.5,16.5,16.5,16.5
5.0,6.5,7.5,7.5
1.5,1.5,2.5,2.5
21.5,21.5,22.0,22.0
21.0,28.0,33.0,33.0
14.0,10.0,10.0,10.0
30.0,26.0,25.5,25.5
4.0,1.0,1.0,1.0
4.0,0.5,2.5,2.5
6.0,3.0,3.5,3.5
13.0,12.5,14.0,14.0
4.5,1.5,3.0,3.0
13.0,11.5,11.0,11.0
2.0,2.5,5.5,5.5
11.5,43.0,44.0,44.0
25.5,21.0,20.0,20.0
11.5,10.5,12.0,12.0
40.0,45.5,45.5,45.5
2.0,1.0,1.5,1.5
7.0,3.0,2.5,2.5
6.5,2.5,1.5,1.5
1.5,23.0,23.0,23.0
25.0,22.5,24.0,24.0
2.5,2.0,2.5,2.5
1.5,11.0,12.0,12.0
2.0,1.5,2.0,2.0
1.5,0.5,6.0,6.0
11.0,8.5,9.0,9.0
4.5,2.5,3.0,3.0
3.5,2.0,1.0,1.0
25.0,21.5,21.0,21.0
2.5,0.5,2.0,2.0
8.0,6.0,13.0,13.0
9.0,7.0,7.0,7.0
4.0,3.0,3.0,3.0
1.5,1.0,2.0,2.0
11.5,10.5,11.5,11.5
8.0,9.0,11.0,11.0
35.5,47.0,81.0,81.0
3.0,2.0,1.5,1.5
31.5,32.5,33.5,33.5
2.0,1.0,1.0,1.0
39.0,40.5,41.5,41.5
