LECCE,BRINDISI,TERMOLI
0.5,1.0,7.5
1.5,2.5,7.0
1.0,0.5,6.5
1.5,1.0,3.5
1.0,1.5,4.0
1.0,1.0,13.0
1.5,0.5,5.5
1.5,0.5,9.5
1.0,0.5,9.0
3.0,2.5,10.5
1.5,0.5,8.5
1.5,0.5,4.0
2.0,1.0,2.5
1.0,0.5,4.5
2.5,1.0,8.5
1.0,1.0,5.0
2.5,1.5,16.5
4.0,2.0,29.5
1.0,1.0,3.0
4.5,2.5,10.0
1.0,0.5,3.5
1.0,1.0,8.0
2.0,0.5,9.5
1.5,1.0,3.0
1.0,1.0,0.5
2.0,1.5,7.0
5.5,3.5,10.0
0.5,6.0,9.5
1.5,0.5,9.0
1.5,0.5,1.5
1.5,0.5,3.5
1.0,1.5,3.5
6.5,6.0,13.5
0.5,1.0,2.0
1.0,0.5,14.0
4.0,4.5,15.5
1.5,1.5,2.5
1.0,1.0,10.5
2.0,0.5,5.5
1.5,1.0,13.0
2.5,1.0,8.5
1.0,2.0,0.5
12.5,9.5,2.0
1.0,9.0,7.5
1.5,0.5,1.5
1.5,0.5,35.0
1.5,0.5,8.0
1.0,0.5,4.0
3.5,2.0,4.0
1.5,2.5,3.5
1.5,2.0,5.5
1.5,1.0,10.5
1.0,0.5,25.0
1.5,2.0,4.5
1.5,0.5,4.0
1.0,6.0,2.0
1.0,2.0,3.0
1.5,1.5,12.5
3.0,1.5,4.0
1.5,1.5,1.5
