NAPOLI CENTRALE,ROMA TERMINI
-6.5,-5.0
-6.5,-9.0
2.0,0.0
-5.0,-4.0
-5.0,-8.0
-7.0,-1.5
-9.0,-1.0
-4.0,-3.0
-5.0,-3.5
-6.5,5.0
-8.5,4.0
-6.0,-1.0
-2.0,-4.5
-8.0,-8.5
-9.5,-4.0
0.0,-8.0
-8.0,-8.0
-9.0,-9.0
-6.5,-8.0
199.0,302.0
-4.0,0.0
-4.5,4.0
-2.5,-2.0
36.5,34.0
7.0,-2.0
-4.5,-8.0
0.0,3.0
-11.0,-11.0
-3.5,2.0
-8.5,-5.0
-10.0,-1.5
-7.0,-7.0
-8.0,-2.0
-6.5,-5.5
-6.0,-2.0
-3.0,0.0
-6.5,26.0
-9.0,-7.0
-9.0,0.0
-1.5,-8.0
-2.0,2.0
-10.5,-7.0
-4.5,-1.0
3.5,7.0
29.0,32.0
-7.0,3.0
-6.5,-7.0
2.0,-3.0
-2.0,-5.0
-8.0,0.0
-6.5,-3.0
3.0,1.0
-8.5,-9.5
-8.5,4.0
1.0,9.0
-9.5,1.0
-6.5,2.0
-4.0,-4.5
-6.0,-2.0
-8.5,3.0
-6.0,-1.0
-6.5,-5.0
-9.0,0.0
-7.0,-3.0
2.0,0.0
-8.5,3.0
3.0,6.0
-4.5,2.0
-9.5,-3.0
7.0,3.0
-7.0,-3.0
-6.5,-6.0
16.0,10.0
-5.0,-2.5
-8.5,0.0
-6.0,1.0
-4.0,3.0
-9.0,4.0
-6.0,-8.0
-5.5,-10.0
-3.0,-3.0
-9.5,3.0
-5.0,-6.0
-5.5,-1.0
-8.5,3.0
-5.5,4.0
-7.0,4.0
-4.5,11.0
-8.5,-2.0
-6.5,-1.0
-9.5,0.0
0.0,-8.0
-4.0,26.0
-10.0,-1.5
43.0,47.0
-5.5,-4.0
-7.5,-2.0
-7.5,-9.0
-8.5,-9.5
-6.5,-9.0
-6.0,-1.0
-3.0,-3.0
-8.5,-1.0
-4.0,0.0
17.0,17.0
-3.0,-4.0
-9.5,-1.0
-6.0,-1.0
