OCCHIOBELLO,POLESELLA
1.5,1.5
2.5,2.0
2.5,1.5
15.0,13.0
1.0,0.0
0.5,-1.0
0.5,-1.5
1.0,0.5
15.0,14.5
12.5,12.0
5.0,3.5
23.0,21.0
4.5,3.0
4.5,4.0
12.0,12.0
10.5,10.0
2.5,2.0
18.5,17.5
1.0,-0.5
8.5,7.5
2.5,1.5
7.0,7.0
1.0,-0.5
8.0,6.5
7.0,6.0
5.0,4.5
2.0,0.5
0.5,0.0
-0.5,-1.0
10.0,9.5
2.0,1.0
4.0,2.5
5.0,3.5
6.5,5.5
2.5,1.0
3.5,2.0
4.0,3.0
3.5,1.5
4.0,3.5
18.5,18.0
-0.5,-1.5
5.0,4.0
6.0,6.5
9.0,7.0
3.5,2.5
12.5,13.0
-0.5,-2.0
5.5,5.5
8.5,8.0
6.5,5.0
10.0,8.5
19.5,17.5
2.0,0.0
13.0,12.5
9.5,8.0
9.5,9.5
4.0,2.5
13.5,13.0
9.5,8.0
9.0,8.5
4.0,2.5
27.5,27.0
4.0,2.5
0.5,-1.0
2.5,1.0
5.0,3.5
4.5,3.0
25.0,23.5
21.5,20.0
2.5,3.0
1.0,0.0
1.5,0.5
8.0,6.0
1.0,-0.5
4.5,4.0
5.0,4.0
13.0,11.0
1.5,1.0
8.5,8.5
26.0,32.5
3.5,2.5
31.0,30.0
13.0,12.0
9.0,9.0
10.5,10.0
2.5,2.0
7.0,6.0
5.5,5.0
5.0,5.0
32.5,32.0
15.5,13.5
3.0,2.5
7.5,7.5
2.0,0.5
7.0,5.5
1.5,0.0
3.0,3.0
4.5,3.0
18.5,16.5
7.0,6.0
4.0,3.0
45.0,44.0
11.5,11.5
16.0,14.5
2.0,0.5
6.5,5.0
8.0,6.5
12.0,12.0
3.5,3.0
7.0,6.5
1.5,0.5
6.0,5.0
3.0,2.0
3.5,2.0
1.0,-1.0
8.0,7.0
7.5,9.0
11.0,10.0
5.5,4.0
7.0,5.5
2.5,1.0
6.0,4.0
5.0,4.0
1.0,0.0
2.0,0.5
17.0,15.0
44.5,44.0
3.0,1.5
27.0,26.0
0.0,-0.5
5.5,5.0
2.0,0.5
0.5,0.0
5.0,5.0
3.0,2.5
2.5,1.0
8.5,7.5
7.0,6.5
22.0,21.0
13.0,12.0
11.0,12.0
9.5,10.0
6.0,6.0
3.5,3.5
16.5,16.5
1.0,-0.5
9.0,8.0
2.0,0.5
22.5,22.0
2.5,2.0
7.0,7.0
1.0,0.0
12.5,12.5
2.5,7.5
8.0,6.5
5.5,4.0
4.0,1.5
15.0,15.0
6.5,6.0
2.0,0.5
13.0,11.5
63.0,63.0
38.5,41.0
2.0,1.5
7.0,5.0
2.5,2.0
11.5,11.0
9.5,9.0
21.5,20.0
1.0,0.0
8.0,7.0
2.0,1.5
14.0,13.0
4.5,3.0
8.0,6.5
1.5,2.0
4.5,3.5
1.0,-0.5
4.5,2.5
2.0,0.5
9.0,8.5
3.5,2.0
84.0,83.0
67.0,66.5
2.5,1.5
4.0,3.0
3.0,2.0
2.5,5.5
2.5,1.0
3.5,2.5
11.5,12.0
2.0,1.5
3.0,2.0
1.0,1.5
1.5,0.0
17.5,15.5
7.0,6.5
2.0,1.0
0.0,-1.0
20.5,18.5
27.5,26.5
7.0,6.5
2.0,0.5
10.5,10.0
3.5,3.0
9.5,9.0
3.0,1.5
6.5,6.0
5.0,4.0
14.0,12.5
2.0,0.5
4.0,3.5
3.0,1.5
0.5,-0.5
1.5,-0.5
12.0,10.0
1.0,0.0
8.5,8.5
2.5,1.0
18.0,16.0
3.0,1.5
16.5,14.5
5.0,3.5
20.0,18.5
1.0,-0.5
0.5,-0.5
5.5,5.0
11.0,11.0
4.0,4.0
2.5,2.0
5.5,4.0
17.5,16.0
5.5,4.0
8.5,7.0
5.0,3.5
6.0,5.5
2.0,1.0
7.0,6.5
14.0,12.5
8.5,7.5
10.0,8.5
7.5,6.0
0.5,-1.0
6.0,4.5
4.0,3.5
7.0,6.0
1.0,-0.5
5.5,4.5
1.5,0.5
1.0,-1.0
5.5,4.0
6.0,6.0
6.5,6.5
6.5,6.0
2.0,1.5
2.5,1.0
8.0,7.0
9.5,10.5
11.0,9.0
2.5,1.5
3.0,3.0
4.0,2.0
3.5,1.5
1.0,0.0
2.0,1.0
9.5,10.0
9.0,8.5
6.0,4.5
1.5,0.5
3.0,1.0
9.5,7.0
1.5,0.5
4.0,3.5
2.5,1.5
8.5,7.5
5.0,3.5
11.0,9.5
3.5,2.5
5.5,5.5
5.0,4.0
22.5,20.5
11.0,10.5
7.5,6.0
10.0,8.0
0.0,-1.0
6.0,5.5
8.0,8.0
5.0,3.0
