SESTO FIORENTINO,FIRENZE RIFREDI
-1.5,-3.5
-1.5,-3.5
-1.5,-2.5
-0.5,-3.0
-1.5,-2.5
6.5,20.5
0.5,0.0
1.5,-0.5
-1.5,-2.5
8.5,6.5
0.5,-2.0
1.0,-2.0
10.5,8.0
3.0,2.0
-0.5,-3.0
-1.5,-4.0
1.0,-1.0
-1.0,-2.5
-2.0,-2.0
1.0,-1.5
-0.5,-1.0
-1.0,0.0
5.0,2.5
-2.0,-3.5
7.0,4.0
2.0,0.0
-1.5,-2.5
-0.5,-2.5
-1.0,-2.5
1.0,-1.0
1.5,6.0
1.5,-1.5
2.0,0.5
4.5,1.5
-1.0,-2.0
-1.0,-4.0
-1.0,-3.0
-0.5,-2.0
-1.0,-2.5
-0.5,-2.0
-1.0,-4.0
-1.0,-3.5
3.5,1.0
-1.5,-3.5
-1.5,-4.0
-1.5,-3.5
1.0,-2.0
-1.0,-3.5
-1.5,-4.0
-1.0,-3.5
0.0,-3.0
-1.5,-3.5
3.0,1.0
-2.0,-3.5
4.0,1.0
-1.5,-4.0
0.0,-3.0
-1.5,-3.5
-0.5,-1.0
-1.5,-2.5
4.0,0.5
-1.5,-3.0
-1.0,-3.0
-2.0,-3.5
3.0,2.5
-0.5,-3.0
-0.5,-3.5
-0.5,-2.5
-1.5,-2.0
-1.0,-3.5
-1.0,-3.0
4.5,1.5
-1.0,-3.5
-2.0,-4.5
0.5,-2.0
-1.5,-3.0
9.5,7.5
-1.0,-3.5
5.5,3.0
-0.5,-3.0
0.0,-2.0
0.5,-1.5
-1.5,-3.5
1.5,-2.0
-1.0,-2.0
-0.5,-3.0
1.0,-1.0
-1.0,-3.5
0.5,-2.5
0.0,-3.0
0.0,-2.5
0.0,-2.0
1.0,-1.0
-1.0,-3.5
-1.5,-4.5
-1.5,-3.5
-1.5,-3.5
-1.0,-4.0
-0.5,-2.5
-1.5,-3.5
-1.0,-3.5
0.0,-1.5
-1.0,-2.5
-0.5,0.0
-1.5,-3.0
3.0,-1.0
2.5,0.0
4.5,1.5
-1.0,-4.0
-0.5,-4.0
-0.5,-3.5
0.5,-2.0
-2.5,-4.0
2.0,-1.0
4.5,1.0
31.0,29.0
-1.0,-3.0
0.5,-2.0
0.0,-2.5
2.0,-0.5
-1.0,-3.0
7.5,2.5
-2.0,-4.0
0.0,-3.5
-2.0,-4.0
3.0,-0.5
4.5,3.5
0.5,-1.0
-0.5,-2.5
0.5,-1.0
-1.0,-4.0
-1.5,-3.5
-0.5,-2.5
-0.5,0.0
-1.5,-2.5
-1.0,-3.0
-1.5,-2.0
-1.0,-2.0
-2.0,-4.0
1.5,-1.0
-1.5,-3.0
-1.0,-4.0
-1.5,-3.0
2.0,1.0
