SOLAROLO,BARBIANO
0.0,1.0
1.0,3.0
9.0,19.0
2.5,4.5
1.0,3.0
2.0,3.5
13.0,19.5
2.5,4.0
4.5,7.5
4.0,5.5
6.5,8.0
3.5,3.5
0.5,2.0
20.5,21.5
8.5,11.0
5.0,5.5
2.5,6.5
7.5,8.0
5.5,6.5
2.5,4.0
1.0,3.5
6.0,7.0
7.5,8.5
2.0,2.5
4.0,7.0
1.0,2.5
1.0,3.0
115.0,127.0
8.0,9.0
1.0,2.0
15.5,16.0
4.0,6.0
0.5,1.5
0.5,2.0
4.0,6.0
0.5,2.5
-1.0,3.0
4.5,6.0
1.0,4.0
5.0,6.5
0.0,1.5
3.0,4.5
6.0,7.0
-0.5,2.0
0.0,1.5
9.5,12.0
0.5,2.0
1.5,4.0
2.0,3.5
2.0,3.5
2.0,4.0
4.0,6.0
5.5,7.0
1.5,4.5
1.0,3.0
-0.5,1.0
0.0,1.0
2.0,4.0
4.0,5.5
6.0,7.5
11.5,13.0
9.0,11.5
2.0,3.5
25.0,26.5
2.0,3.5
0.5,1.5
2.5,3.5
5.0,6.5
5.0,6.5
1.5,3.0
8.5,9.5
4.5,5.0
1.0,2.5
4.0,7.0
0.0,1.0
4.5,5.0
4.0,5.0
2.5,4.0
0.0,1.5
6.0,7.0
-1.0,1.0
1.5,3.0
1.0,2.5
2.0,4.5
0.0,1.5
-0.5,1.0
0.0,1.5
0.0,1.5
2.5,4.0
0.0,1.5
2.5,4.5
0.5,2.5
3.0,5.0
3.5,4.5
7.0,9.5
7.0,8.5
3.5,5.0
0.5,2.0
-0.5,1.0
2.5,4.0
3.0,4.0
4.0,6.0
1.0,2.5
2.5,4.0
3.0,4.5
7.5,9.0
7.0,8.5
35.5,36.5
5.5,7.0
8.5,10.5
1.5,3.5
2.0,4.0
1.5,3.0
2.0,3.0
7.5,8.5
2.0,4.0
1.0,4.5
3.0,4.5
