VASTO S.SALVO,PESCARA
-1.0,2.5
8.5,4.5
22.5,21.0
-1.5,-3.5
-1.5,-1.5
5.0,3.5
0.0,-2.0
-0.5,2.5
9.5,8.0
14.5,14.0
-0.5,3.0
-1.0,-3.0
-1.5,-2.0
9.0,11.5
4.0,2.0
0.5,-2.0
-1.0,3.0
-1.5,0.5
3.0,1.5
3.5,10.0
2.0,0.5
0.5,3.5
4.5,2.5
-0.5,3.5
0.5,0.5
0.0,-2.0
-0.5,-1.0
7.5,9.0
0.0,-1.0
0.0,10.0
-0.5,-2.0
0.0,-2.0
-1.0,1.5
9.5,9.0
2.5,0.0
10.5,7.5
-1.5,0.5
0.0,7.5
-0.5,-3.0
6.0,6.0
-1.0,2.0
-1.5,-3.0
-1.0,-1.5
24.5,22.5
0.0,6.5
-1.0,0.0
20.5,22.0
-0.5,-3.5
0.5,-2.0
5.0,3.5
10.0,11.0
-2.0,-3.0
-1.5,3.5
3.5,6.5
2.5,10.0
1.5,4.5
2.0,-1.5
8.0,6.5
-1.5,-2.5
-1.0,2.5
1.0,6.5
1.0,-1.0
0.5,-1.0
-1.5,0.0
2.0,1.5
9.5,11.0
-1.0,-0.5
6.5,3.0
-0.5,2.5
4.5,9.0
21.0,18.5
-1.0,3.0
-1.5,-2.0
8.5,8.0
4.5,4.0
1.0,0.0
0.0,-1.0
-1.0,-2.0
0.5,-1.5
2.5,4.5
3.0,2.0
-1.0,7.5
-0.5,10.0
2.0,50.5
-0.5,-2.0
-2.0,3.0
7.5,9.0
9.0,10.5
-1.0,2.0
-0.5,20.0
-0.5,-2.0
-0.5,1.0
2.0,2.0
8.5,8.5
2.0,11.5
9.5,5.5
9.0,7.5
4.5,14.0
-1.5,2.5
-2.0,-0.5
0.0,0.0
0.0,7.5
5.5,10.0
27.0,29.5
9.0,9.5
-0.5,-1.0
7.5,14.0
-0.5,0.0
26.0,23.0
6.0,10.0
-1.5,1.0
0.0,2.0
7.5,4.0
3.0,10.5
-1.5,-2.0
11.5,11.0
-1.5,1.5
2.0,-1.0
0.0,2.0
4.5,2.5
-0.5,4.0
0.0,-3.5
-1.0,-2.5
1.5,1.5
2.0,9.0
-1.5,-2.0
4.5,10.5
1.0,0.0
0.5,-1.0
2.5,1.0
0.0,3.0
-1.5,-0.5
-2.0,-3.5
1.5,4.0
-1.0,1.0
-0.5,-0.5
-1.5,-2.0
0.5,-1.0
5.5,5.0
8.0,5.0
-1.0,4.0
2.0,-0.5
